[2026-03-14T22:44:11.493Z] GET https://eyshtech.vip/ → 200 (101ms, 20638B)
[2026-03-14T22:44:11.765Z] GET https://fonts.gstatic.com/s/sharetechmono/v16/J7aHnp1uDWRBEqV98dVQztYldFcLowEFA87Heg.woff2 → 200 (?ms, ?B)
[2026-03-14T22:44:15.232Z] GET https://eyshtech.vip/workspace → 200 (50ms, 29098B)
[2026-03-14T22:44:15.286Z] POST https://www.google-analytics.com/g/collect?v=2&tid=G-X4LZM2SMZP&gtm=45je63b1h1v9245539321za200zd9245539321&_p=1773528251760&gcd=13l3l3l3l1l1&npa=0&dma=0&cid=1083064693.1773528252&ul=en-us&sr=1280x720&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uamb=0&uam=&uap=macOS&uapv=15.3.1&uaw=0&are=1&frm=0&pscdl=noapi&_eu=AAAAAAQ&tag_exp=103116026~103200004~115616985~115938465~115938469~116024733~117484252&sid=1773528251&sct=1&seg=1&dl=https%3A%2F%2Feyshtech.vip%2F&dt=EyshTech%20%E2%80%94%20AI%20Operations%20%26%20Google%20Workspace%20Consulting&_s=1&tfd=3545 → pending (?ms, ?B)
[2026-03-14T22:44:15.287Z] GET https://www.googletagmanager.com/gtag/js?id=G-X4LZM2SMZP → 200 (?ms, 459061B)
[2026-03-14T22:44:15.287Z] GET https://fonts.googleapis.com/css2?family=Orbitron:wght@400;500;600;700;800&family=Share+Tech+Mono&family=Nunito:wght@400;600;700;800&display=swap → 200 (1ms, 9882B)
[2026-03-14T22:44:15.291Z] GET https://fonts.gstatic.com/s/nunito/v32/XRXV3I6Li01BKofINeaBTMnFcQ.woff2 → 200 (1ms, ?B)
[2026-03-14T22:44:15.292Z] GET https://fonts.gstatic.com/s/orbitron/v35/yMJRMIlzdpvBhQQL_Qq7dy1biN15.woff2 → 200 (?ms, ?B)
[2026-03-14T22:44:15.292Z] GET https://fonts.gstatic.com/s/sharetechmono/v16/J7aHnp1uDWRBEqV98dVQztYldFcLowEFA87Heg.woff2 → 200 (?ms, ?B)
[2026-03-14T22:44:15.333Z] GET https://eyshtech.vip/workspace → 200 (10ms, 29098B)
[2026-03-14T22:44:15.344Z] POST https://www.google-analytics.com/g/collect?v=2&tid=G-X4LZM2SMZP&gtm=45je63b1h1v9245539321za200zd9245539321&_p=1773528255287&gcd=13l3l3l3l1l1&npa=0&dma=0&cid=1083064693.1773528252&ul=en-us&sr=1280x720&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uamb=0&uam=&uap=macOS&uapv=15.3.1&uaw=0&are=1&frm=0&pscdl=noapi&_eu=AAAAAAQ&_s=1&tag_exp=103116026~103200004~115938466~115938468~116024733~117484252&sid=1773528251&sct=1&seg=1&dl=https%3A%2F%2Feyshtech.vip%2Fworkspace&dt=Google%20Workspace%20Security%20Audit%20%26%20Consulting%20%7C%20EyshTech&en=page_view&_ee=1&tfd=112 → pending (?ms, ?B)
[2026-03-14T22:44:15.346Z] GET https://www.googletagmanager.com/gtag/js?id=G-X4LZM2SMZP → 200 (?ms, 459061B)
[2026-03-14T22:44:15.346Z] GET https://fonts.googleapis.com/css2?family=Orbitron:wght@400;500;600;700;800&family=Share+Tech+Mono&family=Nunito:wght@400;600;700;800&display=swap → 200 (?ms, 9882B)
[2026-03-14T22:44:15.348Z] GET https://fonts.gstatic.com/s/nunito/v32/XRXV3I6Li01BKofINeaBTMnFcQ.woff2 → 200 (?ms, ?B)
[2026-03-14T22:44:15.348Z] GET https://fonts.gstatic.com/s/orbitron/v35/yMJRMIlzdpvBhQQL_Qq7dy1biN15.woff2 → 200 (?ms, ?B)
[2026-03-14T22:44:15.348Z] GET https://fonts.gstatic.com/s/sharetechmono/v16/J7aHnp1uDWRBEqV98dVQztYldFcLowEFA87Heg.woff2 → 200 (?ms, ?B)
[2026-03-14T22:44:20.362Z] POST https://www.google-analytics.com/g/collect?v=2&tid=G-X4LZM2SMZP&gtm=45je63b1h1v9245539321za200zd9245539321&_p=1773528255346&gcd=13l3l3l3l1l1&npa=0&dma=0&cid=1083064693.1773528252&ul=en-us&sr=1280x720&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uamb=0&uam=&uap=macOS&uapv=15.3.1&uaw=0&are=1&frm=0&pscdl=noapi&_eu=AAAAAAQ&_s=1&tag_exp=103116026~103200004~115938466~115938468~116024733~117484252&sid=1773528251&sct=1&seg=1&dl=https%3A%2F%2Feyshtech.vip%2Fworkspace&dt=Google%20Workspace%20Security%20Audit%20%26%20Consulting%20%7C%20EyshTech&en=page_view&_ee=1&tfd=5028 → 204 (16ms, ?B)
[2026-03-14T22:54:15.705Z] GET http://100.93.72.87:8787/dashboard → 403 (5ms, 54B)
[2026-03-14T22:54:43.832Z] GET http://100.93.72.87:8787/dashboard?token=wA56TvtBoQsA6-b7ysed2-1GLrsNseED → 200 (2ms, 573940B)
[2026-03-14T22:54:43.838Z] GET https://fonts.googleapis.com/css2?family=JetBrains+Mono:wght@400;700&family=Comfortaa:wght@400;700&family=Nunito:wght@300;400;600;700&display=swap → 200 (43ms, 17280B)
[2026-03-14T22:54:43.903Z] GET https://fonts.gstatic.com/s/comfortaa/v47/1PtCg8LJRfWJmhDAuUsSQamb1W0lwk4S4WjMXL830efAesmwYSFoxBEP_I28dnyM.woff2 → 200 (48ms, 23028B)
[2026-03-14T22:54:43.903Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (49ms, 31340B)
[2026-03-14T22:54:43.903Z] GET https://fonts.gstatic.com/s/nunito/v32/XRXV3I6Li01BKofINeaBTMnFcQ.woff2 → 200 (?ms, 39152B)
[2026-03-14T22:54:43.921Z] GET https://status.anthropic.com/api/v2/status.json → pending (?ms, ?B)
[2026-03-14T22:54:43.921Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T22:55:13.923Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T22:55:43.922Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T22:56:13.923Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T22:56:43.922Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T22:57:13.923Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T22:57:43.923Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T22:58:13.924Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T22:58:43.923Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T22:59:13.923Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T22:59:43.924Z] GET https://status.anthropic.com/api/v2/status.json → pending (?ms, ?B)
[2026-03-14T22:59:43.924Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:00:13.924Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:00:43.926Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:01:13.923Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:01:43.924Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:02:13.925Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:02:43.925Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:03:13.925Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:03:43.925Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:04:13.925Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:04:43.925Z] GET https://status.anthropic.com/api/v2/status.json → pending (?ms, ?B)
[2026-03-14T23:04:43.925Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:05:13.925Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:05:43.928Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:06:13.925Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:06:43.925Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:07:13.926Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:07:43.926Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:08:13.927Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:08:43.927Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:09:13.927Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:09:43.928Z] GET https://status.anthropic.com/api/v2/status.json → pending (?ms, ?B)
[2026-03-14T23:09:43.928Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:10:13.927Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:10:43.927Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:11:13.928Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:11:43.929Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:12:13.928Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:12:43.928Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:13:13.929Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:13:43.929Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:14:13.929Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:14:43.929Z] GET https://status.anthropic.com/api/v2/status.json → pending (?ms, ?B)
[2026-03-14T23:14:43.929Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:15:13.929Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:15:43.929Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:16:13.930Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:16:43.930Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:17:13.929Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:17:43.930Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:18:13.930Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:18:43.932Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:19:13.931Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:19:43.931Z] GET https://status.anthropic.com/api/v2/status.json → pending (?ms, ?B)
[2026-03-14T23:19:43.931Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:20:13.932Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:20:43.931Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:21:13.931Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:21:43.931Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:22:13.932Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:22:43.931Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:23:13.933Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:23:43.932Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:24:13.931Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
[2026-03-14T23:24:43.932Z] GET https://status.anthropic.com/api/v2/status.json → pending (?ms, ?B)
[2026-03-14T23:24:43.932Z] GET http://localhost:4040/api/tunnels → pending (?ms, ?B)
